STT;Function ID (*);Tàn CN;M? MÖn hçnh;Tàn mÖn hçnh/API;M? quy trçnh;Tàn quy trçnh;M? UC (*)
1;DC1-TT-QT-001;Thàm m?i ph??ng th?c thu th?p d? li?u (qua API, qua file) ??i v?i m?t C? s? d? li?u c?a B? ban ngÖnh;DC1-UC001-MH1;Thàm m?i ph??ng th?c thu th?p;DC1-TT;Thu th?p;DC1-UC001
2;DC1-TT-QT-001;C?p nh?t l?i ph??ng th?c thu th?p d? li?u (qua API, qua file) ??i v?i m?t C? s? d? li?u c?a B? ban ngÖnh;DC1-UC001-MH2;C?p nh?t ph??ng th?c thu th?p;DC1-TT;Thu th?p;DC1-UC001
3;DC1-TT-QT-001;X¢a b? ph??ng th?c thu th?p d? li?u t? m?t C? s? d? li?u c?a B? ban ngÖnh;DC1-UC001-MH3;X†c nh?n x¢a b? ph??ng th?c thu thÉp;DC1-TT;Thu th?p;DC1-UC001
4;DC1-TT-QT-001;Xem thìng tin chi ti?t ph??ng th?c thu th?p d? li?u t? m?t C? s? d? li?u c?a B? ban ngÖnh;DC1-UC001-MH4;Xem thìng tin chi ti?t;DC1-TT;Thu th?p;DC1-UC001
5;DC1-TT-QT-001;Tra c?u ph??ng th?c thu th?p d? li?u ??i v?i c†c C? s? d? li?u theo B? ban ngÖnh;DC1-UC001-MH5;MÖn danh s†ch thìng tin;DC1-TT;Thu th?p;DC1-UC001
6;DC1-TT-QT-001;K?t xu?t k?t qu? tra c?u ph??ng th?c thu th?p d? li?u ??i v?i c†c C? s? d? li?u theo B? ban ngÖnh ra excel, csv...;DC1-UC001-MH6;MÖn danh s†ch thìng tin;DC1-TT;Thu th?p;DC1-UC001
7;DC1-TT-QT-002;Tçm ki?m thìng tin truy c?p c?a ng??i dóng;DC1-UC002-MH1;MÖn danh s†ch thìng tin;DC1-TT;Thu th?p;DC1-UC002
8;DC1-TT-QT-002;Xem chi ti?t l?ch s? truy c?p c?a ng??i dóng;DC1-UC002-MH2;Xem chi ti?t;DC1-TT;Thu th?p;DC1-UC002
9;DC1-TT-QT-002;Tçm ki?m thìng tin ho?t ??ng c?a ng??i dóng theo c†c tiàu ch°;DC1-UC002-MH3;MÖn danh s†ch thìng tin;DC1-TT;Thu th?p;DC1-UC002
10;DC1-TT-QT-002;Xem chi ti?t l?ch s? ho?t ??ng c?a ng??i dóng;DC1-UC002-MH4;Xem chi ti?t;DC1-TT;Thu th?p;DC1-UC002
